iter	Passed	Remaining
930	13349	989
931	13362	974
932	13376	960
933	13391	946
934	13403	931
935	13418	917
936	13435	903
937	13451	889
938	13469	874
939	13485	860
940	13503	846
941	13519	832
942	13535	818
943	13551	803
944	13567	789
945	13581	775
946	13595	760
947	13608	746
948	13622	732
949	13636	717
950	13649	703
951	13664	688
952	13678	674
953	13692	660
954	13707	645
955	13721	631
956	13736	617
957	13748	602
958	13763	588
959	13779	574
960	13794	559
961	13808	545
962	13824	531
963	13838	516
964	13854	502
965	13868	488
966	13883	473
967	13898	459
968	13914	445
969	13928	430
970	13944	416
971	13957	402
972	13969	387
973	13983	373
974	13996	358
975	14010	344
976	14025	330
977	14038	315
978	14052	301
979	14066	287
980	14082	272
981	14097	258
982	14112	244
983	14127	229
984	14141	215
985	14156	201
986	14171	186
987	14184	172
988	14198	157
989	14213	143
990	14229	129
991	14244	114
992	14261	100
993	14275	86
994	14289	71
995	14305	57
996	14318	43
997	14330	28
998	14344	14
999	14358	0
